Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
7157,TP53,tumor protein p53,Homo sapiens,human,NM_000546.6,NP_000537.3,,curated,RefseqSelect,default-seq
22059,Trp53,transformation related protein 53,Mus musculus,house mouse,NM_011640.3,NP_035770.2,,curated,RefseqSelect,default-seq
24842,Tp53,tumor protein p53,Rattus norvegicus,Norway rat,NM_030989.3,NP_112251.2,,curated,,default-seq
30590,tp53,tumor protein p53,Danio rerio,zebrafish,NM_001271820.1,NP_001258749.1,10170140,curated,,default-seq
281542,TP53,tumor protein p53,Bos taurus,cattle,NM_174201.2,NP_776626.1,,curated,,default-seq
396200,TP53,tumor protein p53,Gallus gallus,chicken,NM_205264.1,NP_990595.1,10170140,curated,,default-seq
397276,TP53,tumor protein p53,Sus scrofa,pig,NM_213824.3,NP_998989.3,,curated,,default-seq
403869,TP53,tumor protein p53,Canis lupus familiaris,dog,NM_001389218.1,NP_001376147.1,,curated,,default-seq
431679,tp53,tumor protein p53,Xenopus tropicalis,tropical clawed frog,NM_001001903.1,NP_001001903.1,,curated,,default-seq
443421,TP53,tumor protein p53,Ovis aries,sheep,NM_001009403.1,NP_001009403.1,,curated,,default-seq
455214,TP53,tumor protein p53,Pan troglodytes,chimpanzee,XM_016931470.2,XP_016786959.2,,model,,default-seq
493847,TP53,tumor protein p53,Felis catus,domestic cat,NM_001009294.1,NP_001009294.1,,curated,,default-seq
497248,TP53,tumor protein p53,Monodelphis domestica,gray short-tailed opossum,XM_007483356.1,XP_007483418.1,10326712,model,,default-seq
716170,TP53,tumor protein p53,Macaca mulatta,Rhesus monkey,NM_001047151.2,NP_001040616.1,,curated,,default-seq
100009292,TP53,tumor protein p53,Oryctolagus cuniculus,rabbit,XM_008270660.2,XP_008268882.1,,model,,default-seq
100049321,tp53,tumor protein p53,Oryzias latipes,Japanese medaka,NM_001104742.1,NP_001098212.1,11179131,curated,,default-seq
100062044,TP53,tumor protein p53,Equus caballus,horse,NM_001202405.1,NP_001189334.1,,curated,,default-seq
100092821,TP53,tumor protein p53,Ornithorhynchus anatinus,platypus,XM_029056307.2,XP_028912140.1,10170140,model,,default-seq
100136737,tp53,tumor protein p53,Oncorhynchus mykiss,rainbow trout,NM_001124692.1,NP_001118164.1,,curated,,default-seq
100304476,tp53,tumor protein p53,Ictalurus punctatus,channel catfish,NM_001200076.1,NP_001187005.1,10170140,curated,,default-seq
100379269,Tp53,tumor protein p53,Cavia porcellus,domestic guinea pig,NM_001172740.1,NP_001166211.1,,curated,,default-seq
100415710,TP53,tumor protein p53,Callithrix jacchus,white-tufted-ear marmoset,XM_002747948.4,XP_002747994.1,,model,,default-seq
